,Unnamed: 0,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
54,54,850,3,1,30,2,141040.01,1,1,1,5978.2,0
55,55,716,1,1,39,1,70657.61,2,1,1,76476.05,0
56,56,350,1,1,51,10,0.0,1,1,1,125823.79,1
57,57,725,1,1,44,5,0.0,1,1,1,117356.14,0
58,58,726,1,1,29,7,0.0,2,1,1,91844.14,1
59,59,698,1,0,39,4,0.0,2,0,1,47455.82,0
60,60,487,3,0,31,1,0.0,2,1,0,158750.13,0
61,61,831,2,1,32,9,80262.66,1,1,0,194867.78,0
62,62,563,3,1,57,6,0.0,2,1,1,39297.48,0
63,63,597,1,1,41,4,153198.23,1,1,1,92090.36,0
64,64,647,3,0,29,2,0.0,2,1,0,179032.68,0
65,65,762,2,1,34,4,88815.56,2,1,0,68562.26,1
66,66,703,1,1,50,8,160139.59,2,1,1,79314.1,0
67,67,673,3,0,35,6,0.0,2,1,0,98618.79,0
68,68,741,2,1,38,4,128015.83,1,1,0,58440.43,0
69,69,814,1,0,36,6,0.0,2,1,1,98657.01,0
70,70,541,1,1,29,7,127504.57,1,0,0,86173.92,0
71,71,578,1,0,35,2,0.0,2,0,1,26389.92,0
72,72,684,3,1,40,2,70291.02,1,1,1,115468.84,1
73,73,471,3,0,28,5,0.0,2,1,1,22356.97,0
74,74,656,3,0,41,6,101179.23,2,1,1,35230.61,0
75,75,589,3,0,46,10,0.0,2,0,1,168369.37,0
76,76,655,3,1,37,1,0.0,1,1,1,106040.97,0
77,77,536,1,0,41,9,0.0,1,1,0,121299.14,0
78,78,740,1,0,51,4,0.0,2,1,1,178929.84,0
79,79,685,2,0,44,2,119657.53,1,1,0,145387.05,1
80,80,656,1,0,30,4,74323.2,1,1,1,22929.08,0
81,81,525,3,1,33,5,0.0,2,1,0,161002.29,0
82,82,681,2,1,38,6,181804.34,2,1,1,57517.71,0
83,83,549,2,1,54,5,92877.33,1,1,0,2619.64,1
84,84,650,2,1,23,4,93911.3,2,1,0,69055.45,0
85,85,732,3,1,54,0,134249.7,1,0,1,13404.4,0
86,86,747,2,1,58,7,116313.57,1,1,1,190696.35,1
87,87,754,3,1,35,4,0.0,2,1,1,9658.41,0
88,88,589,1,1,38,4,0.0,1,1,0,95483.48,1
89,89,559,1,1,33,9,111060.05,2,1,0,110371.84,0
90,90,696,1,1,44,8,161889.79,1,0,0,75562.47,0
91,91,673,3,1,40,1,121629.22,1,1,1,3258.6,0
92,92,733,1,1,51,10,141556.96,1,1,0,130189.53,0
93,93,698,1,1,38,2,130015.24,1,1,1,41595.3,0
94,94,806,1,0,32,3,63763.49,1,1,0,156593.09,0
95,95,725,1,1,39,4,160652.45,2,1,0,57643.55,0
96,96,525,3,0,60,7,0.0,2,0,1,168034.9,0
97,97,524,1,1,22,9,0.0,2,1,0,74405.34,0
98,98,625,1,0,36,8,129944.39,2,0,0,198914.8,0
99,99,548,2,0,36,2,108913.84,2,1,1,140460.01,0
100,100,678,1,0,28,4,0.0,2,1,1,144423.17,1
101,101,694,2,0,37,8,98218.04,2,1,0,182354.46,1
102,102,619,2,1,57,3,137946.39,1,1,1,72467.99,1
103,103,605,2,1,75,2,61319.63,1,0,1,186655.11,0
104,104,524,1,1,32,1,144875.71,1,0,0,187740.04,0
105,105,764,1,0,44,1,0.0,2,1,1,11467.38,0
106,106,649,2,0,50,5,155393.32,1,1,1,87351.42,1
107,107,689,2,0,40,4,78119.59,4,1,0,119259.34,1
108,108,615,1,1,30,8,0.0,2,0,0,3183.15,0
109,109,631,1,1,33,7,0.0,1,1,1,58043.02,1
110,110,680,2,0,48,8,115115.38,1,1,0,139558.6,1
111,111,648,1,1,34,0,0.0,1,1,1,167931.81,0
112,112,572,3,1,31,5,98108.79,1,0,1,119996.95,0
113,113,850,3,1,44,7,89118.26,1,1,0,104240.77,1
114,114,627,2,0,35,2,137852.96,1,1,1,172269.21,1
115,115,663,3,0,58,5,216109.88,1,0,1,74176.71,1
116,116,620,1,0,33,9,127638.35,1,1,1,192717.57,0
117,117,585,2,1,50,2,125845.66,1,1,0,9439.31,1
118,118,508,1,0,31,7,0.0,2,1,1,6123.15,0
119,119,754,1,1,28,8,0.0,2,1,1,52615.62,0
120,120,730,1,0,35,0,155470.55,1,1,1,53718.28,0
121,121,712,2,1,53,6,134729.99,2,1,1,132702.64,0
122,122,732,1,1,36,7,0.0,2,1,1,60830.24,0
123,123,778,2,0,29,7,123229.46,1,1,0,181221.09,0
124,124,691,1,1,26,9,136623.19,1,1,0,153228.0,0
125,125,582,3,0,46,8,67563.31,1,1,0,44506.09,1
126,126,714,1,1,34,10,0.0,2,1,1,80234.14,0
127,127,720,1,1,52,7,0.0,1,1,1,14781.12,0
128,128,716,1,1,31,8,109578.04,2,1,1,51503.51,0
129,129,593,1,0,39,0,117704.73,1,1,0,197933.5,0
130,130,618,1,1,34,5,134954.53,1,1,1,151954.39,0
131,131,729,2,1,39,6,127415.85,1,1,1,184977.2,1
132,132,724,2,0,48,6,110463.25,2,1,1,80552.11,1
133,133,681,1,0,18,1,98894.39,1,1,1,9596.4,0
134,134,724,2,0,33,9,119278.44,1,1,1,197148.24,0
135,135,767,3,1,77,8,149083.7,1,1,1,190146.83,0
136,136,650,3,0,25,3,86605.5,3,1,0,16649.31,1
137,137,702,1,1,50,3,0.0,2,0,0,94949.84,0
138,138,809,3,1,80,8,0.0,2,0,1,34164.05,0
139,139,563,1,1,35,3,106250.72,1,0,0,39546.32,0
140,140,537,3,1,30,1,103138.17,1,1,1,96555.42,0
141,141,701,1,1,29,2,0.0,2,1,0,176943.59,0
142,142,641,3,0,40,4,101090.27,1,1,1,51703.09,0
143,143,420,2,0,31,1,108377.75,2,1,1,9904.63,0
144,144,648,3,0,31,5,0.0,2,1,1,5199.02,0
145,145,540,2,0,42,9,87271.41,2,1,0,172572.64,0
146,146,695,1,1,49,9,159458.53,1,1,0,135841.35,0
147,147,655,3,0,28,3,113811.85,2,0,1,76844.23,0
148,148,805,2,0,33,3,105663.56,2,0,1,33330.89,0
149,149,719,3,1,37,10,145382.61,1,1,0,80408.59,0
150,150,781,3,0,29,6,98759.89,1,0,0,112202.64,0
151,151,668,1,1,42,3,150461.07,1,1,0,108139.23,0
152,152,556,2,1,42,0,115915.53,2,0,1,125435.47,1
153,153,489,1,0,47,8,103894.38,2,1,1,107625.46,0
154,154,683,1,1,38,7,109346.13,2,1,0,102665.92,0
155,155,466,1,1,40,4,91592.06,1,1,0,141210.18,1
156,156,746,2,1,34,6,141806.0,2,1,1,183494.87,0
157,157,668,1,1,32,7,0.0,2,1,1,777.37,0
158,158,575,2,1,47,9,107915.94,2,1,1,63452.18,1
159,159,783,2,0,42,2,139707.28,1,1,0,2150.22,0
160,160,539,2,0,38,8,82407.51,1,1,0,13123.41,0
161,161,700,1,1,38,8,134811.3,1,1,0,1299.75,0
162,162,690,1,1,33,5,0.0,2,1,0,138017.68,0
163,163,461,1,1,51,9,119889.84,1,0,0,56767.67,1
164,164,745,1,0,36,9,0.0,1,1,0,19605.18,1
165,165,706,2,0,47,6,120621.89,1,1,1,140803.7,0
166,166,710,1,0,31,3,0.0,2,1,1,112289.06,0
167,167,705,1,0,50,4,77065.9,2,0,1,145159.26,0
168,168,678,3,1,28,5,138668.18,1,1,1,54144.01,0
169,169,551,3,1,76,2,128410.71,2,1,1,181718.73,0
170,170,747,3,0,41,5,94521.17,2,1,0,194926.86,0
171,171,547,1,0,51,1,0.0,2,1,1,56908.41,0
172,172,779,2,0,37,2,128389.63,1,1,1,6589.16,1
173,173,649,1,1,33,2,0.0,2,1,0,2010.98,0
174,174,697,3,0,40,7,130334.35,2,0,1,116951.1,0
175,175,599,2,1,36,3,128960.21,2,1,1,40318.33,0
176,176,680,1,1,31,1,0.0,2,1,1,3148.2,0
177,177,571,1,0,35,1,104783.81,2,0,1,178512.52,0
178,178,646,1,1,30,5,98014.74,1,1,1,12757.14,0
179,179,806,3,0,37,2,137794.18,2,0,1,75232.02,0
180,180,554,1,0,22,8,0.0,2,0,1,142670.61,0
181,181,635,2,0,48,4,81556.89,2,1,0,191914.37,0
182,182,591,3,1,29,1,97541.24,1,1,1,196356.17,0
183,183,569,2,1,25,9,173459.45,2,1,1,44381.06,0
184,184,645,3,1,36,4,59893.85,2,1,0,43999.64,0
185,185,552,2,1,38,10,132271.12,2,1,1,46562.02,0
186,186,574,2,1,35,5,163856.76,1,1,1,15118.2,0
187,187,758,1,1,26,4,155739.76,1,1,0,171552.02,0
188,188,695,3,0,39,5,0.0,2,0,0,102763.69,0
189,189,518,3,1,50,4,0.0,1,0,0,107112.25,1
190,190,551,1,1,42,1,50194.59,1,1,1,23399.58,0
191,191,637,1,0,41,9,0.0,2,1,0,145477.36,0
192,192,680,3,0,30,3,0.0,1,1,0,160131.58,0
193,193,618,2,1,41,8,37702.79,1,1,1,195775.48,0
194,194,575,1,1,36,1,0.0,1,0,1,94570.56,0
195,195,519,2,0,21,1,151701.45,3,1,1,170138.68,1
196,196,603,1,0,24,3,0.0,1,1,1,198826.03,1
197,197,609,2,1,38,6,140752.06,2,0,1,171430.16,0
198,198,616,2,0,43,7,95984.21,1,0,1,115262.54,1
199,199,811,1,1,30,6,0.0,2,1,1,180591.32,0
200,200,615,3,1,32,5,138521.83,1,1,1,56897.1,0
201,201,811,2,1,52,10,76915.4,1,0,0,146359.81,1
202,202,615,1,0,30,9,0.0,1,1,0,87347.82,0
203,203,719,1,1,69,3,0.0,2,1,1,58320.06,0
204,204,715,1,0,31,3,110581.29,1,1,1,94715.24,0
205,205,727,1,1,34,10,0.0,2,1,1,198637.34,0
206,206,601,1,1,29,9,0.0,1,1,1,80393.27,0
207,207,684,2,0,26,2,114035.39,1,0,0,96885.19,0
208,208,603,1,1,43,5,127823.93,1,1,1,19483.35,0
209,209,673,1,1,51,8,79563.36,2,1,1,172200.91,0
210,210,709,2,1,45,4,122917.71,1,1,1,11.58,1
211,211,566,1,1,34,3,0.0,1,0,0,188135.69,0
212,212,706,1,1,35,5,0.0,2,1,1,81718.37,0
213,213,726,3,0,26,1,80780.16,1,1,1,19225.85,0
214,214,636,1,0,34,3,0.0,2,1,1,44756.25,0
215,215,718,3,1,40,9,0.0,2,0,0,121537.91,0
216,216,491,1,0,72,6,91285.22,1,1,1,7032.95,0
217,217,714,2,0,49,4,93059.34,1,1,0,7571.51,1
218,218,611,3,1,34,4,0.0,2,1,0,170950.58,0
219,219,628,2,1,40,5,181768.32,2,1,1,129107.97,0
220,220,718,2,1,26,7,147527.03,1,0,0,51099.56,0
221,221,651,1,1,53,7,0.0,2,1,1,130132.41,0
222,222,499,1,0,38,9,0.0,2,0,1,183042.2,0
223,223,430,2,0,38,8,153058.64,1,1,0,99377.27,0
224,224,631,3,0,46,10,0.0,2,1,1,129508.96,0
225,225,577,2,0,43,3,127940.47,1,0,0,125140.72,1
226,226,464,2,1,37,4,155994.15,1,0,0,143665.44,0
227,227,603,1,0,48,5,0.0,1,1,0,100478.6,1
228,228,592,2,0,26,4,105082.07,2,1,0,132801.57,0
229,229,635,2,1,53,8,117005.55,1,0,1,123646.57,1
230,230,679,3,0,39,7,91187.9,1,0,1,6075.36,0
231,231,587,1,1,40,2,0.0,4,0,1,106174.7,1
232,232,583,3,0,40,4,0.0,2,1,0,114093.73,0
233,233,404,2,0,54,4,125456.07,1,1,0,83715.66,1
234,234,576,1,1,32,7,0.0,2,1,0,4660.91,0
235,235,850,2,0,25,8,69385.17,2,1,0,87834.24,0
236,236,755,1,1,23,5,84284.48,2,1,1,62851.6,0
237,237,585,1,1,42,2,0.0,2,1,1,18657.77,0
238,238,574,1,1,34,1,112572.39,1,0,0,165626.6,0
239,239,742,2,1,33,1,137937.95,1,1,1,51387.1,0
240,240,833,1,0,28,4,136674.51,2,0,0,5278.78,0
241,241,694,1,0,22,4,0.0,2,1,1,11525.72,0
242,242,656,1,0,39,6,0.0,2,1,0,141069.88,0
243,243,492,1,1,35,4,141359.37,2,1,0,39519.53,0
244,244,793,1,1,39,3,137817.52,1,0,0,83997.79,0
245,245,617,1,0,34,0,131244.65,2,1,0,183229.02,0
246,246,614,2,0,39,8,125997.22,1,1,1,128049.34,1
247,247,786,2,1,24,2,120135.55,2,1,1,125449.47,0
248,248,560,1,0,27,5,0.0,2,1,0,131919.48,0
249,249,425,3,0,39,5,0.0,2,1,0,140941.47,0
250,250,850,1,1,31,3,0.0,2,1,0,121866.87,0
251,251,697,1,0,23,10,0.0,2,1,1,79734.23,0
252,252,748,1,1,66,8,0.0,1,1,1,163331.65,0
253,253,706,3,1,57,7,0.0,1,1,0,17941.16,1
254,254,449,3,0,31,1,113693.0,1,0,0,82796.29,0
255,255,590,3,1,22,7,125265.61,1,1,1,161253.08,0
256,256,733,1,1,39,1,0.0,2,1,1,141841.31,0
257,257,496,3,1,29,2,0.0,2,1,0,55389.59,0
258,258,711,1,1,52,5,0.0,1,1,1,159808.95,0
259,259,587,3,0,34,1,0.0,2,1,1,97932.68,0
260,260,539,1,1,39,3,0.0,2,1,0,36692.17,0
261,261,562,3,1,36,5,0.0,1,0,1,182843.24,0
262,262,606,1,1,61,5,108166.09,2,0,1,8643.21,0
263,263,717,2,0,33,0,115777.23,1,1,1,81508.1,0
264,264,643,1,1,39,7,0.0,2,1,1,170392.59,0
265,265,637,3,1,43,8,0.0,1,1,0,12156.93,1
266,266,803,1,1,31,9,157120.86,2,1,0,141300.53,0
267,267,579,3,0,39,2,151963.26,2,1,0,158948.63,0
268,268,549,2,0,37,1,130622.34,2,1,1,128499.94,0
269,269,482,2,0,48,2,69329.47,1,0,0,102640.52,1
270,270,611,1,0,49,2,88915.37,3,0,0,161435.02,1
271,271,526,1,0,37,5,53573.18,1,1,0,62830.97,0
272,272,725,2,1,40,8,104149.66,1,1,0,62027.9,0
273,273,588,2,1,41,6,106116.56,2,1,0,198766.61,0
274,274,605,1,1,36,7,128829.25,1,1,0,190588.59,0
275,275,630,1,1,26,7,129837.72,2,0,1,197001.15,0
276,276,737,1,0,32,7,128551.36,2,0,1,189402.71,0
277,277,686,2,0,43,5,154846.24,2,1,1,151903.6,0
278,278,660,3,0,61,5,155931.11,1,1,1,158338.39,0
279,279,607,1,1,44,0,0.0,2,1,1,81140.09,0
280,280,850,2,0,43,8,92244.83,2,1,0,54949.73,0
281,281,666,3,0,36,6,0.0,2,1,0,176692.87,0
282,282,683,3,1,35,9,61172.04,1,0,0,82951.12,0
283,283,654,3,0,54,5,0.0,2,0,1,47139.06,0
284,284,850,1,0,37,9,0.0,1,0,0,100101.06,0
285,285,584,1,0,41,3,0.0,2,1,1,160095.48,0
286,286,709,3,1,62,3,0.0,2,1,1,82195.15,0
287,287,638,1,1,57,6,0.0,1,1,0,33676.48,1
288,288,494,1,0,33,1,137853.0,1,0,1,90273.85,0
289,289,695,3,1,46,3,122549.64,1,1,1,56297.85,0
290,290,541,1,0,39,6,109844.81,1,1,0,25289.23,0
291,291,588,1,0,64,3,0.0,1,1,1,189703.65,0
292,292,638,2,1,37,2,89728.86,2,1,1,37294.88,0
293,293,637,2,1,51,1,104682.83,1,1,0,55266.96,1
294,294,797,1,1,32,10,114084.6,1,0,1,125782.29,0
295,295,787,2,0,38,3,158373.23,1,1,1,28228.35,0
296,296,714,1,1,35,3,0.0,2,1,1,95623.28,0
297,297,546,2,0,25,3,132837.7,1,1,0,131647.31,0
298,298,674,3,1,36,2,0.0,2,1,1,182787.17,0
299,299,637,2,0,36,10,145750.45,2,1,1,96660.76,0
300,300,652,2,0,47,0,126597.89,2,1,1,38798.79,1
301,301,729,2,1,29,5,109676.52,1,1,1,25548.47,0
302,302,727,2,1,37,9,101191.83,1,1,1,34551.35,1
303,303,613,1,1,44,3,0.0,2,0,1,136491.72,0
304,304,762,1,1,20,1,139432.55,1,1,1,85606.83,0
305,305,556,1,1,38,2,114756.14,1,1,0,193214.05,0
306,306,689,1,1,47,1,93871.95,3,1,0,156878.42,1
307,307,840,2,0,51,1,87779.83,1,0,1,36687.11,1
308,308,831,1,0,34,2,0.0,2,0,0,165840.94,0
309,309,686,1,0,34,3,123971.51,2,1,0,147794.63,0
310,310,746,3,1,30,1,112666.67,1,0,0,11710.4,1
311,311,773,2,1,43,8,81844.91,2,1,1,35908.46,0
312,312,527,2,0,30,6,126663.51,1,1,1,162267.91,0
313,313,569,1,1,35,10,124525.52,1,1,1,193793.78,0
314,314,739,3,1,19,5,89750.21,1,1,0,193008.52,0
315,315,598,3,0,56,4,98365.33,1,1,1,44251.33,0
316,316,692,1,1,27,1,125547.53,1,0,0,7900.46,0
317,317,542,3,1,35,2,174894.53,1,1,1,22314.55,0
318,318,486,3,1,27,7,0.0,2,1,0,28823.04,0
319,319,647,3,0,44,5,0.0,3,1,1,174205.22,1
320,320,648,2,0,39,3,126935.98,2,0,1,57995.74,0
321,321,599,3,1,34,2,101506.66,1,0,0,198030.24,0
322,322,674,2,0,36,6,100762.64,1,1,0,182156.86,0
323,323,514,2,0,45,3,109032.23,1,0,1,155407.21,1
324,324,598,2,1,32,9,123938.6,2,1,0,198894.42,0
325,325,691,1,1,34,8,133936.04,2,1,0,91359.79,0
326,326,742,2,0,41,4,92805.72,1,0,1,73743.95,1
327,327,730,3,1,26,3,0.0,1,1,0,34542.41,0
328,328,626,1,0,35,3,0.0,1,0,0,80190.36,0
329,329,850,3,0,54,4,120952.74,1,1,0,66963.15,0
330,330,595,2,0,44,4,96553.52,2,1,0,143952.24,1
331,331,572,2,1,39,4,112290.22,1,1,0,49373.97,1
332,332,426,1,1,34,9,0.0,2,1,0,107876.91,0
333,333,546,1,1,28,8,0.0,1,1,0,159254.29,0
334,334,625,1,0,38,7,0.0,1,1,0,164804.02,0
335,335,758,2,0,23,5,122739.1,1,1,0,102460.84,1
336,336,535,3,0,50,1,140292.58,3,0,0,69531.22,1
337,337,514,3,1,30,7,0.0,1,0,1,125010.24,0
338,338,795,2,1,38,7,125903.22,2,1,1,127068.92,0
339,339,727,2,0,18,2,93816.7,2,1,0,126172.11,0
340,340,664,3,1,35,1,115024.5,1,0,1,169665.79,0
341,341,649,1,0,35,4,108306.44,1,1,1,192486.24,0
342,342,604,1,0,71,2,0.0,2,1,1,49506.82,0
343,343,850,2,1,43,0,108508.82,3,1,0,184044.8,1
344,344,726,1,1,37,2,132057.92,2,1,0,34743.98,0
345,345,730,3,1,29,2,0.0,2,1,0,14174.09,0
346,346,555,1,1,29,4,128744.04,1,1,1,47454.93,0
347,347,738,1,0,39,1,94435.45,2,0,1,189430.86,0
348,348,660,3,0,36,0,84438.57,1,1,1,181449.51,0
349,349,738,1,1,49,6,106770.82,1,1,0,123499.27,0
350,350,547,1,0,35,4,0.0,1,1,1,133287.73,0
351,351,598,3,0,39,5,0.0,2,1,1,83103.46,0
352,352,497,1,1,34,2,0.0,2,1,1,83087.13,0
353,353,755,1,0,43,9,0.0,2,1,0,18066.69,0
354,354,624,1,1,44,3,0.0,2,1,0,88407.51,0
355,355,555,3,0,24,2,0.0,2,0,1,197866.55,0
356,356,544,1,0,32,9,110728.39,1,1,1,14559.62,0
357,357,585,1,1,36,7,0.0,2,1,0,94283.09,0
358,358,686,2,1,35,2,109342.82,2,0,1,86043.27,0
359,359,750,3,0,36,6,0.0,2,1,1,59816.41,0
360,360,463,2,0,41,8,123151.51,2,1,0,70127.93,0
361,361,715,3,1,31,7,0.0,1,1,1,149970.59,0
362,362,625,1,0,51,7,136294.97,1,1,0,38867.46,1
363,363,686,1,0,41,7,152105.57,2,0,1,132374.41,0
364,364,636,1,0,24,9,0.0,2,0,1,38830.72,0
365,365,598,2,1,41,3,91536.93,1,1,0,191468.78,1
366,366,696,3,0,43,4,0.0,2,1,1,66406.37,0
367,367,777,1,1,39,8,0.0,2,1,1,18613.52,0
368,368,689,3,1,73,1,108555.07,1,0,1,167969.15,0
369,369,695,2,1,40,7,139022.24,1,0,1,193383.13,0
370,370,575,3,0,26,7,0.0,2,1,0,112507.63,0
371,371,733,1,1,42,9,120094.93,1,1,0,184056.45,0
372,372,683,1,1,33,8,0.0,1,0,0,73564.44,0
373,373,777,1,0,28,2,134571.5,1,0,1,118313.38,0
374,374,646,2,1,48,8,169023.33,2,1,1,175657.55,0
375,375,593,3,0,38,4,88736.44,2,1,0,67020.03,0
376,376,708,1,1,52,10,105355.81,1,1,0,123.07,1
377,377,671,3,0,34,5,130929.02,4,1,1,28238.25,1
378,378,605,2,0,31,1,117992.59,1,1,1,183598.77,0
379,379,607,1,1,26,1,0.0,1,1,0,29818.2,0
380,380,693,1,1,68,4,97705.99,1,1,1,61569.07,0
381,381,607,2,1,32,9,144272.07,2,1,0,176580.63,0
382,382,683,1,0,29,9,0.0,2,1,1,48849.89,0
383,383,669,1,0,38,9,121858.98,1,1,0,130755.34,0
384,384,698,1,1,48,4,101238.24,2,0,1,177815.87,1
385,385,695,1,1,46,7,49512.55,1,1,0,133007.34,0
386,386,743,1,1,36,4,0.0,2,1,1,190911.02,0
387,387,626,2,0,47,2,103108.8,1,0,1,166475.44,1
388,388,586,1,0,60,3,47020.65,2,0,1,63241.21,1
389,389,788,1,0,33,5,0.0,2,0,0,116978.19,0
390,390,717,1,0,59,4,0.0,2,1,1,170528.63,0
391,391,720,3,1,31,4,141356.47,1,0,0,137985.69,0
392,392,660,1,1,35,7,0.0,2,1,0,13218.6,0
393,393,543,2,1,30,6,73481.05,1,1,1,176692.65,0
394,394,707,3,0,52,7,0.0,1,1,0,109688.82,1
395,395,850,2,1,31,4,146587.3,1,1,1,89874.82,0
396,396,646,2,0,44,2,113063.83,1,0,0,53072.49,1
397,397,662,1,1,32,9,0.0,2,0,0,65089.38,0
398,398,679,1,1,47,10,198546.1,2,1,0,191198.92,1
399,399,616,3,1,30,5,0.0,2,0,1,196108.51,0
400,400,743,1,0,46,9,0.0,1,1,0,113436.08,0
401,401,553,1,0,27,3,0.0,2,0,0,159800.16,0
402,402,600,3,0,50,6,94684.27,1,1,1,50488.91,0
403,403,507,3,0,29,6,0.0,2,0,1,94780.9,0
404,404,736,2,0,26,0,84587.9,1,0,1,188037.76,0
405,405,712,3,0,29,7,77919.78,1,1,0,122547.58,0
406,406,632,1,1,41,0,106134.46,1,0,1,105570.39,0
407,407,608,1,1,42,5,0.0,2,1,0,178504.29,0
408,408,399,2,1,46,2,127655.22,1,1,0,139994.68,1
409,409,521,1,1,43,8,0.0,1,1,1,93180.09,0
410,410,594,2,0,26,6,135067.52,2,0,0,131211.86,0
411,411,678,1,1,26,3,0.0,2,1,0,4989.33,0
412,412,753,2,1,44,3,138076.47,1,1,0,15523.09,1
413,413,776,2,1,38,5,112281.7,1,0,1,89893.6,0
414,414,708,3,0,41,5,0.0,1,0,1,157003.99,0
415,415,741,3,1,40,4,104784.23,1,1,0,135163.76,1
416,416,716,1,0,23,2,94464.81,2,0,1,185900.88,0
417,417,530,1,1,39,2,0.0,2,1,0,197923.05,0
418,418,612,2,1,46,9,161450.03,1,1,1,96961.0,1
419,419,682,1,1,48,1,138778.15,1,0,1,168840.23,0
420,420,641,1,0,40,9,0.0,1,0,0,151648.66,1
421,421,643,1,1,33,4,0.0,2,1,1,152992.04,0
422,422,775,1,1,28,9,111167.7,1,1,0,149331.01,0
423,423,498,2,1,37,8,108432.88,2,1,1,14865.05,0
424,424,651,2,1,31,7,138008.06,2,1,0,129912.74,0
425,425,711,1,0,28,8,0.0,2,0,0,105159.89,0
426,426,689,2,1,26,4,120727.97,1,0,1,149073.88,0
427,427,730,3,0,43,1,103960.38,1,1,1,193650.16,0
428,428,700,1,1,26,4,119009.57,1,1,0,141926.43,0
429,429,437,3,1,28,2,109161.25,1,1,0,152987.42,0
430,430,704,1,0,40,6,95452.89,1,0,1,179964.55,0
431,431,645,3,1,49,2,0.0,2,0,0,10023.15,0
432,432,739,2,1,40,5,149131.03,3,1,1,60036.99,1
433,433,812,3,0,24,1,92476.88,1,0,0,83247.14,0
434,434,662,3,1,37,5,94901.09,1,1,1,48233.75,0
435,435,407,3,1,37,1,0.0,1,1,1,49161.12,1
436,436,589,1,1,34,6,0.0,2,1,1,177896.92,0
437,437,527,3,0,46,10,131414.76,1,1,0,54947.51,0
